original index,context,text,labels,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o3-mini
0,4183,ChampionsLeague,Love that Jurgen just told the boys to smile and play. Amazing managing in a tough situation. #BAR #Championsleague #Liverpool,joy,joy,joy,joy,joy
1,2733,WorldBookDay,#WorldBookDay To some amazing books that have been reading pleasures as well as influencers: 3- Animal Farm - George Orwell  https://t.co/JL6lGxpYTj,joy,joy,joy,joy,joy
2,197,NotreDame,"I know it’s been over 24 hours and for some reason that means it’s time for the media to move on, but just to remind you:  An 800 year old building that was a huge beacon of hope for so many people just burned down. #NotreDameCathedralFire #NotreDameFire https://t.co/71YH1mjuWq",sadness,sadness,sadness,sadness,sadness
3,3519,GretaThunberg,Educating for Extinction. (climate change as a catalyst for shifts in a failing system) https://t.co/oY1QrLD30a … #ExtinctionRebellion #GretaThunberg #creativelearning #pedagogy #education #climatestrike https://t.co/JPMmDdI532,joy,anger,sadness,disgust,anger
4,912,ChampionsLeague,I hope Salah scores a hat trick in the second leg! #ChampionsLeague #BARvLIV #LivBar #BARLFC,joy,joy,joy,joy,joy
5,2868,NotreDame,I'm not at all religious... like AT ALL. But this #NotreDameCathedralFire has me feeling really uneasy.  I know overall it sounds like it'll be rebuilt but after all its gone through... why now? I don't like it!,disgust,fear,fear,fear,fear
6,6882,ChampionsLeague,"Who will win tonight? I have bet of $10,000. Help me win it. #BARLIV #BarcellonaLiverpool #Barcelona #Liverpool #LivBar USER USER #ChampionsLeague",joy,surprise,fear,joy,joy
7,3087,GameOfThrones,#GameofThrones is my forever obsession &amp; guilty pleasure!! ❤️❤️❤️,joy,joy,joy,joy,joy
8,5408,NotreDame,"USER USER Yes - and....  Happy we value our heritage sites.   May we also value each other-and the planet-as much and urgently?   Otherwise it all collapses, fades to black.   Reality: can't have one without all others.   #NotreDameCathedralFire #leadership #values #UNESCO",joy,joy,fear,joy,joy
9,5303,WorldBookDay,This story will make your day! 😊  Meet USER and share her empowering message for refugees and youth everywhere. https://t.co/fQXZhFnLcL   #WorldBookDay 📚 https://t.co/yjY4bkjiyT,joy,joy,joy,joy,joy
10,5952,Venezuela,USER USER Shes not &amp; youd know that if you weren't into regime change wars or gave a shit about the the aftermath if one were to happen. No benefit to #Venezuela https://t.co/2exnu5CVaC,anger,anger,anger,anger,anger
11,5563,GameOfThrones,Mad respect for Deborah Riley the production designer of #GameOfThrones this woman designs the set.. thats mad!,joy,joy,joy,joy,joy
12,3856,ChampionsLeague,"Suarez celebration against Liverpool, his former club, is the ugliest thing you could see tonight. #ChampionsLeague",disgust,disgust,disgust,disgust,disgust
13,6163,NotreDame,We’ll all be missing this important piece of history and Christianity while it’s being rebuilt. #sosad #NotreDameCathedralFire https://t.co/5bgI0rnzTk,sadness,sadness,sadness,sadness,sadness
14,2304,Venezuela,USER USER USER USER USER Do you #threestooges still want to deny that #Socialism destroys!  That’s it! It destroys everything!  Look at #Venezuela. The govt/ #Maduro is killing their own people!  I’m sure y’all will backtrack. But it’s too late. #Qanon https://t.co/HXBlcmrwrS,anger,anger,anger,anger,anger
15,6216,NotreDame,"#NotreDameCathedralFire the people that are saying that Notre Dame is “just a building”, are heartless. i pray you realize the bigger picture here.",disgust,anger,sadness,anger,anger
16,5970,WorldBookDay,"On the #WorldBookDay , I would like every book lover/reader to please comment your favourite book here. I would love hear the names of all the good books &amp; would try to read them.  Thanks.",joy,joy,joy,joy,joy
17,3088,GameOfThrones,THAT EPISODE WAS FUCKING EVERYTHING... 🤯🤯🤯🤯🤯 #GameofThrones SHAKING. 😱😱😱😱😱,joy,anger,surprise,joy,surprise
18,3409,GameOfThrones,"Theon, you're a good man. Thank you.  #GameOfThrones #TheLongNight #TheBattleOfWinterfell",joy,joy,joy,joy,joy
19,4272,WorldBookDay,Looking for a way to relax? Curl up with a good book! #WorldBookDay https://t.co/LpIDo6qtwt,joy,joy,joy,joy,joy
20,460,SpainElection,#SpainElection  The Left trounces the Right. Well done Spain https://t.co/MBSnwSfiSH,joy,joy,joy,joy,joy
21,2904,WorldBookDay,Happy #WorldBookDay! #DidYouKnow that over 1 million books have been borrowed from #QNL in the past year? We challenge you to read a book every month! Which books do you plan on adding to your list? Special thanks to USER for the awesome images! https://t.co/HTZtJiryGI,joy,joy,joy,joy,joy
22,3277,Venezuela,"Just listened to an excellent, disturbing analysis on the situation in Venezuela by USER_vinograd on #CNN; is this the beginning of a proxy war on our doorstep? #geopolitics #Venezuela",fear,fear,fear,fear,fear
23,5688,LaLiga,Struggling #Madrid held to goalless draw by Getafe - Gulf Times #GetafeCF 🇪🇸 #LaLiga  https://t.co/8Td299jwFP,sadness,sadness,sadness,sadness,sadness
24,649,WorldBookDay,"Anyway, happy #WorldBookDay and protect our libraries.... https://t.co/pPjcUqzvWW",joy,joy,joy,joy,joy
25,3358,GretaThunberg,"Five teens who changed the world. #GretaThunberg, #MalalaYousafzai, #EmmaGonzalez and #JackAndraka fighting for a #globalimpact. #activismo #activism #activista #activist #feminismo #feminism #schoolofeminism #strongertogether https://t.co/fEjmFZFpHS",joy,joy,joy,joy,joy
26,6656,NotreDame,"Ok..I get it that #NotreDameCathedral has been around for over 800 years...but the Earth’s been around for  4.543 billion years. It’s scorched melting, and dying at an apocalyptic pace whilst no one seems to really give a shit! Maybe it needs a rebrand? #NotreDameCathedralFire",disgust,anger,sadness,anger,anger
27,1029,Venezuela,#Venezuela Correcting manipulation. Armoured car RUN OVER helpless citizens. https://t.co/HtDxCuK8Wm,anger,anger,fear,anger,anger
28,5165,ChampionsLeague,Messi is the fuckin GOAT #ChampionsLeague #UCL,joy,anger,joy,joy,joy
29,6167,NotreDame,Episode 83 - Got Money For War But Can't Feed The Poor  #NotreDameCathedralFire #Brexit #Farage #WealthDistribution #podcast #podcasting #PodernFamily #entertainment   https://t.co/3n0n0oTd1t,disgust,anger,anger,anger,anger
30,3385,ChampionsLeague,Such a masterpiece of a free kick. That is what Messi is made of.  #messi messing with USER.  #BarcaLiverpool #ChampionsLeague #BarçaLFC #BarcelonaLiverpool,joy,joy,joy,joy,joy
31,2918,GameOfThrones,"Well #GameofThrones was brilliant, having just watch the latest episode.  That's all I'm saying.",joy,joy,joy,joy,joy
32,6301,GameOfThrones,Theons death hit me the hardest in #GameOfThrones like fuck,sadness,sadness,anger,sadness,sadness
33,173,NotreDame,"A brief glimmer of hope in the world, the main three 13-century stained glass windows may have survived: ""All three appear to have been saved. Culture Minister Franck Riester said that the three windows do not appear to have suffered catastrophic damage."" #NotreDameCathedralFire https://t.co/dRuAONJ4zK",joy,joy,joy,joy,joy
34,4835,ChampionsLeague,USER See what am saying. It’s over bro! Klopp got it all wrong tonight. #BarcaLiverpool #ChampionsLeague,disgust,anger,anger,anger,anger
35,1466,NotreDame,USER USER when did you guys start playing for the left?? Shutting down French officials on it possibly being terrorism #NotreDameCathedralFire. What a joke! But you let #ShepardSmith go on and on about collusion which didn’t happen. #cnn #fakenews,disgust,anger,anger,anger,anger
36,7229,ChampionsLeague,Alright this isn’t fair tell him to stop cheating. Idk how he’s cheating but he’s cheating. USER #BARLIV #messi #UCL #Championsleague,disgust,anger,anger,anger,anger
37,6617,WorldBookDay,#WorldBookDay  📚🙂Happy Book Day! A good read can change your day! 💯🔆 https://t.co/QAbN5bgkRc,joy,joy,joy,joy,joy
38,75,LaLiga,Well said! 👏 lets see how he would do in #LaLiga or #BPL which I'd love to see! https://t.co/n26G0nH1eK,joy,joy,joy,joy,joy
39,3110,Venezuela,So how will be know if this story about Maduro being talked out of leaving #Venezuela is true? https://t.co/QazLMHpIWI,surprise,surprise,sadness,surprise,surprise
40,5539,NotreDame,"The #NotreDameCathedralFire is tragic. It obviously should be rebuilt but surely it was insured? Perhaps all those wealthy donors pledging money towards it, should instead set up a fund to help the victims of the Catholic paedophile network. They need rebuilding too.",disgust,anger,anger,anger,anger
41,3413,WorldBookDay,"I LOVE BOOKS!!!!!!!! #WorldBookDay #Reading Currently reading a good book, oh yeah.",joy,joy,joy,joy,joy
42,5868,Venezuela,USER I think I can speak for a very pissed off #Venezuelan Zumba Dancers &amp; their friends. And we have easy access to more guns you can imagine a human being can buy in an urban warfare store. Call us. We will come. Do a #Khashoggi on #maduro in Broad Daylight. #Venezuela,anger,anger,anger,anger,anger
43,2324,Venezuela,#Venezuela The only thing you do not provide peace in Venezuela is that the world is now becoming a blood-sucking vampire America #Venezuela https://t.co/ADcYLChK4H,anger,anger,anger,anger,anger
44,4159,WorldBookDay,They're also fantastic #therapy.  Here are mine that helped me make it through #bereavement and #Cancer.  https://t.co/IvlEkrED1w  Happy #WorldBookDay ! https://t.co/HL5xEFiik3,joy,joy,joy,joy,joy
45,4996,Venezuela,This #Venezuela coup is disappointingly non-violent. I've seen more people get crushed in the Central line stairways at Bond Street station,disgust,disgust,disgust,disgust,anger
46,6305,Venezuela,#prayforvenezuela #Venezuela #caracas #military #coup #venezuelans #government #unrest #riots #violence #clash 🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪 Please keep the people of Venezuela in your thoughts and prayers at this crucial time in the country’s history - https://t.co/Imr4oP5UVQ,sadness,sadness,sadness,sadness,fear
47,2043,WorldBookDay,You simply cannot have a better occasion than the World Book Day to study for your exams. Dust off your books! It's high time! MindSpark wishes you all the luck for the End Semester Examinations. #WorldBookDay #MindSpark #COEP https://t.co/aA1tI0Fkkk,joy,joy,joy,joy,joy
48,879,GameOfThrones,The interesting thing about #GameofThrones #GOTS08E03 is getting to see the night king smiling. EPIC https://t.co/QytU9OU8vt,joy,joy,joy,joy,surprise
49,915,Venezuela,USER just said on USER #BBCpapers “The US is trying to engineer a peaceful transition”.   #Venezuela https://t.co/bdXdhyQkk2,joy,surprise,sadness,disgust,surprise
50,4094,ChampionsLeague,VVD ball watching again 😂 you love to see it #ChampionsLeague,joy,joy,joy,joy,joy
51,4294,WorldBookDay,"USER Books not only give us knowledge but also it gives us information that internet cannot give. Also books are the primary source of all things, from facts to fictions, from knowledge to wisdom. #WorldBookDay",joy,joy,joy,joy,joy
52,4995,WorldBookDay,Sometimes having nothing to do at all and spend time reading your favorite writer's novel seems like a privilege #WorldBookDay,joy,joy,joy,joy,joy
53,1155,Venezuela,"#Venezuela #Israel and #America are gone, the world is in peace.",joy,joy,joy,joy,joy
54,31,WorldBookDay,"On #WorldBookDay, be inspired by these amazing books by and about refugees! Our reading list with USER 📚  https://t.co/80DOcykOdf",joy,joy,joy,joy,joy
55,5174,ChampionsLeague,"When we played soccer as teens, the free kick that’s firmly placed at the corner of the net was called  a mitre. #Messi is the king and the greatest of all time. Stunning free kick. #GOAT #BARLIV #UCL #ChampionsLeague",joy,joy,surprise,joy,joy
56,146,SpainElection,Far right in a country that still hosts this pervert Franco memorial? Cannot be. #SpainElection,disgust,disgust,surprise,anger,disgust
57,2688,GameOfThrones,Thats #Gameofthrones over for me. They killed the only guy i liked in the show. 👎,anger,anger,sadness,anger,sadness
58,5707,Venezuela,You guys are mad because #Venezuela is dumping that Dollar https://t.co/7YorWFIW8e,anger,anger,anger,anger,anger
59,4106,WorldBookDay,"""...you’re being just as political when you assign Macbeth as when you assign The Hate U Give."" https://t.co/zt42oTuWC6  #ShakespeareDay #WorldBookDay",disgust,anger,surprise,anger,anger
60,2083,Venezuela,"Absolutely ridiculous statement. Bolton is trying to create rifts in the chavista camp, but chose the worst characters for his soap opera. #VenezuelaCoup #venezuela #juanguaido #nicolasmaduro https://t.co/vznihdhDIW",disgust,anger,anger,anger,anger
61,497,NotreDame,#msnbc has reported that it was the fire department’s chaplain who personally rescued the crown of thorns from #NotreDameCathedralFire    What an amazing story!,joy,joy,surprise,joy,surprise
62,5462,Venezuela,"Democratic, socialist, who cares if your whole business plan is to rape and pillage other countries for their resources because your capitalistic system is a complete failure. #Venezuela https://t.co/x01hSkZOsp",anger,disgust,anger,anger,anger
63,6099,NotreDame,"The fire at #NotreDame reminded me of this paragraph from my work on the kingdom as a space.   People mourn because spaces are not static, but active. #NotreDameCathedralFire https://t.co/CLUNAL3iF0",sadness,sadness,sadness,sadness,sadness
64,3338,WorldBookDay,Happy #WorldBookDay  Inspired from: Alireza Darvish Works https://t.co/0qDKkEh2YV,joy,joy,joy,joy,joy
65,2553,NotreDame,Have been to the cathedral three times. Saw something new each time. Upsetting to hear about the #NotreDameCathedralFire.,sadness,sadness,sadness,sadness,sadness
66,524,WorldBookDay,"World Book Day seems like the perfect place to pitch my book, a sci-fi adventure story, complete at 93k words. It's got everything! War! Aliens! Spaceships! Difficult to explain sexuality! Climate change!  #WorldBookDay #literaryagents #publishers",joy,joy,joy,joy,joy
67,4010,GameOfThrones,"The real question everyone wants to know about last night's #GameofThrones episode.   ""WHERE THE FUCK IS GHOST!?!?!""",anger,anger,anger,anger,anger
68,7066,WorldBookDay,""" Books to the ceiling, Books to the sky, My pile of books is a mile high.  How I love them! How I need them! I’ll have a long beard by the time I read them.”   – Arnold Lobel #WorldBookDay  #WorldBookDay2019  #worldBookandCopyrightDay",joy,joy,joy,joy,joy
69,6161,WorldBookDay,"In honor of #WorldBookDay I'm working my shift at USER and continuing to make progress in this extraordinary novel. 1136 pages in and only 325 or so to go! (For reference to all the fellow theatre kids USER: I'm at ""A Little Fall of Rain"") https://t.co/UkXJGNYeGA",joy,joy,joy,joy,joy
70,5459,Venezuela,USER leave you tyrant. Your Marxist ideology has brought nothing but misery &amp; death. The people of #Venezuela want  #venezuelalibre #freedom for  #socialismkills #EFF wake up. Here USER_S_Malema more proof your ideology is a failed one again. #SouthAfrican #VoteCOPE https://t.co/HqIKuXB0tN,anger,anger,anger,anger,anger
71,192,ChampionsLeague,"PAYMENT AFTER WINNING games are available, if you can stake high DM now!!! #BARLIV #ChampionsLeague #messi",joy,joy,joy,joy,joy
72,3206,Venezuela,USER USER hack and Obama flunkie thinks the #Venezuela people fighting for freedom against an illegitimate socialist dictator is a coup. 🤦‍♂️,disgust,anger,anger,anger,anger
73,6134,GretaThunberg,"USER USER USER_comin USER Oh yes it will, disappointingly, as have all of the other injustices against the Catalan government and people. Nothing will happen until the EU practices what it preaches. Like  #GretaThunberg",anger,anger,sadness,anger,anger
74,2078,NotreDame,We save Notre Dame From the ravages of fire But the world still burns. #NotreDameCathedralFire  #ClimateChange,disgust,sadness,anger,sadness,sadness
75,4571,Venezuela,#Venezuela stop sending our troops to die in other peoples' wars. https://t.co/ti88dfE4JQ,anger,anger,fear,anger,anger
76,5373,NotreDame,"USER Wouldn’t be surprised if eventually investigation revel’s Islamic terrorists involvement. Such a loss, such a shame #NotreDameCathedralFire",sadness,anger,sadness,anger,anger
77,402,NotreDame,. USER Flight 49 landed at USER from Paris around 2:30 p.m. today. I'm grateful to these passengers for sharing their stories with me: #NotreDameCathedralFire USER https://t.co/aLBco5PCLV,joy,joy,joy,joy,joy
78,4490,ChampionsLeague,What an atmosphere last night. It’s a shame the players didn’t use it. We were the 12th man last night. #COYS #ChampionsLeague https://t.co/LzXXsYklDJ,sadness,sadness,sadness,sadness,sadness
79,6726,WorldBookDay,"Happy #WorldBookDay! Follow our librarian, Max Crowther, on Twitter USER for the occasion! https://t.co/giqmuL5pss",joy,joy,joy,joy,joy
80,3993,NotreDame,"My God, (no pun intended) seeing this beautiful building on fire and the steeple collapse causes serious pain deep within my heart, gut, and mind.  #NotreDameCathedralFire  #History  #Paris",sadness,sadness,sadness,sadness,sadness
81,6398,WorldBookDay,"USER USER USER USER USER A very happy #WorldBookDay, indeed! We're so excited to read USER' new book, ""The Moment of Lift.""",disgust,joy,joy,joy,joy
82,5652,GretaThunberg,USER #GretaThunberg why are you not proposing such simple and very effective solutions such as demanding the #US would immediately stop all its military involvement in wars all over the world?   Bombs and tanks are so much more harmful to the environment than family cars.  Money.,disgust,anger,anger,anger,anger
83,3340,GretaThunberg,No shoe !!. Too arrogant or too ignorant #GretaThunberg #Leitrim #sligoleitrimgreens #climatechange #geai #leitrimlen #carrickonshannon https://t.co/Zuwb74DQQk,disgust,anger,anger,anger,anger
84,312,ChampionsLeague,I hope Liverpool would beat Barcalona  USER ❤️🙏📿 amen  Tonight #ChampionsLeague #MoSalah #Liverpool,joy,joy,joy,joy,joy
85,1842,GretaThunberg,'Don' t litter' 'Care about the eath' This really gave me hope for the future. Perhaps a child made this? Future vegan? ❤️ #hope #dontlitter #earth #motherearth #veganvibes #enviroment #gretathunberg @ Løten https://t.co/Ipzk2ZLC1m,joy,joy,joy,joy,joy
86,4089,GameOfThrones,"Also, if you know me, you'll know that I have dysfunctioned for years alongside the irrational fear of anything to do with zombies 😂. After tonight's episode, consider me, a 24-year-old woman, to be not turning off my lights for THE NEXT 24 YEARS #GameofThrones",fear,fear,fear,fear,fear
87,4432,NotreDame,"Can’t help but feel very uncomfortable over the amount of money that has been pledged to restore a building, in less than 24 hours. If only the same could be said for helping and raising money for people. 😢 #NotreDameCathedralFire #TuesdayThoughts",sadness,sadness,sadness,sadness,sadness
88,107,ChampionsLeague,that free kick from 🐐 #Messi unbelievable #600th club goal for him n what a goal #ChampionsLeague #BARLIV https://t.co/5pbG9ZZx1G,surprise,joy,surprise,joy,joy
89,3882,ChampionsLeague,It really is a pleasure to be alive and witness Messi magic on a football pitch #BARLIV #ChampionsLeague,joy,joy,joy,joy,joy
90,4222,Venezuela,"#Pompeo: #Maduro Was Ready to Flee #Venezuela This Morning, But #Russia Talked Him Out of It https://t.co/lTzgUcHTiD",surprise,anger,fear,surprise,surprise
91,6627,WorldBookDay,"It’s Women’s History Month! To celebrate the women who have shaped our history, here are 10 inspiring books for a young audience to read! USER #30Seconds #WomensHistoryMonth #history #women #books #WorldBookDay https://t.co/Flkim232Sc",joy,joy,joy,joy,joy
92,3652,Venezuela,"USER USER USER_Org USER   Still think #Venezuela is a #Socialist paradise? I'm more that happy to buy you a first-class, one-way ticket so you can show your solidarity and maybe use some of your millions to buy food for those starving. https://t.co/Jy7eFLoJvn",disgust,anger,anger,anger,anger
93,1975,GretaThunberg,"#Germany’s rightwing populists (#AFD) embrace climate change denial to boost support, teaming up with scientists who claim #hysteria is driving the global warming debate and ridiculing #GretaThunberg as “mentally challenged” and a ""fraud.” https://t.co/NDpzOxCo3R",anger,anger,anger,anger,anger
94,1754,LaLiga,Congrats to USER on their successful defense of their #LaLiga title! Now let’s make it the double! #TeamMessi #Barça,joy,joy,joy,joy,joy
95,6960,WorldBookDay,"The ocean is full of beauty. For #WorldBookDay, read about all the fishes in the sea in ""Eye of the Shoal: A Fishwatcher’s Guide to Life, the Ocean and Everything."" Reviewed by USER_is_brit   https://t.co/lIfCuRz5Xj",joy,joy,joy,joy,joy
96,5277,ChampionsLeague,It just feels fitting for Barca to win the #ChampionsLeague in Madrid.,joy,joy,joy,joy,joy
97,3423,WorldBookDay,Over 200 followers that's  super awesome guys!!!  I really appreciate everything you do and for putting up with my unique brand of crazy.  #ThanksaBillion #WorldBookDay #follobackforfolloback #hostileplanet #dancedancedance https://t.co/y6gKLjfGZD,surprise,joy,joy,joy,joy
98,728,WorldBookDay,"#WorldBookDay i was in love with reading before i was finished learning how to. from baby books to bibliophile, my journey with reading will be lucky in my eyes. im not sure what my first chapter book was, as i was reading entire boois and novels while i was still in preschool.+",joy,joy,joy,joy,joy
99,6522,Venezuela,USER USER You've been telling all of us about #Venezuela for a long time. Sorry to see what's going on in your country. Let's all hope and pray that things can change for the better very soon.,sadness,sadness,sadness,sadness,sadness
100,4061,WorldBookDay,"Ernest Hemingway had rightly said, ""There is no friend as loyal as a book"". This #WorldBookDay let's celebrate the power of books and develop a positive vision towards leading our life. #WorldBookDay2019 USER USER",joy,joy,joy,joy,joy
101,1768,GameOfThrones,"I feel like I'm saying this every week but am I the only one who thought #GameofThrones was actually really poor this week?   Awfully shot and full of flimsy logic with a massively bloated runtime as well. This season is shaping up worse than the last one, big disappointment.",disgust,disgust,sadness,anger,anger
102,121,LaLiga,Lets go USER. We take matter in our own hands. This is the moment we have been fighting for. Lets make it happen. #viscabarça #WeColorFootball #laliga,joy,joy,joy,joy,joy
103,6367,GameOfThrones,"Great episode of #GameofThrones last night, but honestly, #BattleoftheBastards &gt; #BattleofWinterfell IMO",joy,joy,joy,joy,joy
104,4986,WorldBookDay,Happy #WorldBookDay 📖📖 to you readers&amp; Bookworms. Keep on navigating  like a voyager  who is in search of proposition   &amp; contentment   in life .  May your indomitable learning zeal  excel in a right way . Keep on absorbing comprehension at the speed of light.,joy,joy,joy,joy,joy
