Unnamed: 0,context,text,labels,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o3-mini
0,3866,NotreDame,#French investigators probing the devastating blaze at #NotreDame questioned workers who were renovating the monument on https://t.co/ix2SM8LtOA  #NotreDameCathedralFire,others,other,other,other,other
1,5908,ChampionsLeague,What a special team this Ajax team is and it’s going to broken up in the summer #ChampionsLeague #TOTAJA,others,sadness,sadness,sadness,sadness
2,3934,GameOfThrones,"Literally was not ready for this episode 😱 Arya Stark, absolute hero! 🖤 #GameofThrones #BattleOfWinterfell #AryaStark #NotToday",others,joy,surprise,surprise,surprise
3,3069,ChampionsLeague,Liverpool score tomorrow and don’t lose by more than one goal and we’ll go through.  #lfc #ChampionsLeague,others,other,joy,joy,other
4,1524,GameOfThrones,"What #GameofThrones does with battle scenes and special effects, the USER does with narrative and compelling story lines (at a fraction of the cost)",others,joy,joy,joy,joy
5,3664,GretaThunberg,"I'm tired of people that take their views from tabloid media. Attacking #gretathunberg because her mUm pRObAbLy uSEd a PlAnE according to Rupert Murdoch, therefore USER protests are redundant. Stop being a slowly boiled frog sheep",others,anger,anger,anger,anger
6,3091,SpainElection,The ultra-right Vox party has brought about the 5-way split we expect to see in today's results. The left is afraid of a coalition that includes Vox &amp; the right is afraid of a coalition that includes regional independence parties. #SpainElection #EleccionesGenerales28A https://t.co/3dKqWO1yzF,others,fear,fear,fear,fear
7,3085,GretaThunberg,"EXACTLY!!!  #ClimateChange  #ClimateBreakdown  #EcologicalBreakdown  #FridayForFuture  #GretaThunberg  #ParentsForFuture  #ExtinctionRebelion  #Scientists4Future  #RebelForLife   Bernie, forget about ANITHING ELSE! This is everything This is life and death. Peace https://t.co/ZTUslss1tu",others,anger,fear,anger,fear
8,2334,SpainElection,Socialists the largest party in #SpainElection but short of overall majority - left and right wing groupings have no clear path to govern #EleccionesGenerales https://t.co/fs8gmq4vdw,others,other,other,other,other
9,1872,LaLiga,Who else but #messi should score the league winning goal #LaLiga #Barca #BarcaLevante,others,joy,joy,joy,joy
