Unnamed: 0,text,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o1-mini
0,3948,Sometimes you just have to admire the genius of Lionel Messi. Greatest of all time. #Messi #ChampionsLeague #BARLIV,joy,joy,joy,joy
1,5636,"If anyone wants to give me a book as a gift, I'd like ""Rage Becomes Her"" by Soraya Chemaly 😉 thanks in advance #WorldBookDay",joy,anger,anger,joy
2,507,On #WorldBookDay I am curled up with a book my loving sister bought me. This is the perfect gift for a friend or family member who feels like an ‘aliebn’. Just brilliant. Pages and pages of bandaids on my wounds. 😀 📖 👽   USER USER https://t.co/F0EHKORMe9,joy,joy,joy,joy
3,5454,Very wise words USER_arrowsmith ...we should all channel our inner USER and Phil Kingston #climatechange #ClimateAction #GretaThunberg #ClimateActionNow https://t.co/00L5uFmVel,joy,joy,joy,joy
4,2819,FH underway... Hope's to USER #Liverpool to win #BARLIV #Ucl #SSFootball #ChampionsLeague #TeamKenya #TheScoreKE https://t.co/1YigWZ3vxH,joy,joy,joy,joy
5,5252,Happy world book day from Globeprep! What are you currently reading?  #GlobePrep #WorldBookDay https://t.co/0VMGyhw4LP,joy,joy,joy,joy
6,444,Damn....Game of Thrones sounds crazy! Can’t for y’all to spoil it for me #gameofthrones https://t.co/qzZosb1Obd,joy,surprise,joy,anger
7,3329,"As we celebrate world book day, make sure to indulge in reading as it has the power to shape us into a better version of ourselves.  Wish you a very Happy World Book Day!  #worldbookday #worldbookday2019 #worldbookandcopyrightday #readbooks #kairoscapitalng https://t.co/OyfWeWKOCI",joy,joy,joy,joy
8,4879,More #ChampionsLeague action kicking off at 8pm.   #Barcelona vs. #Liverpool  It could be epic!  It’ll definitely be #Football  #Brighton https://t.co/Iy658e4U6n,joy,joy,joy,joy
9,4625,That was the best bit of tv I have ever watched #Gameofthrones,joy,joy,joy,joy
10,5315,"Greta Thunberg:  The hero we need, or the result of crack-pot parenting?  #gretathunberg #extinctionrebellion #environment #instapodcast https://t.co/xDAKVkc40N",,disgust,anger,disgust
11,4039,"#JorgeArreaza President #Trump, so they have to do they have to follow the orders. And they have been said that they have to isolate Maduro the problems, in Venezuela are caused by the blockade, sanctions, economic warfare, psychological warfare against #Venezuela. https://t.co/tAIfgo762Q",anger,anger,anger,anger
12,2958,"USER been pretty impressive up to now, Mane has to tuck that away 😳 #ChampionsLeague",surprise,surprise,surprise,surprise
13,6108,"I'm just so angry because my absolute favourite show turned from ""meh it gotten kinda shitty (Season 5 to 6) to ""what a fucking stupid dumb big piece of shit filled garbage"" (the last two seasons) #GameOfThrones",anger,anger,anger,anger
14,1019,Nobody can make you feel inferior without your permission. Don't let them. HAPPY NEW MONTH! #ezplaza #wednesdaythoughts #ecommerce #esupermarket #ChampionsLeague https://t.co/mVqjuriA3D,joy,joy,joy,joy
15,5019,FREEDOM for the People of Venezuela 🇻🇪  We are with you!!! #VenezuelaLibre #Venezuela https://t.co/4FCNaPzoOj,joy,joy,joy,joy
16,7264,Respect for people in france who've lost a historic landmark #NotreDameCathedralFire #VivaLaFrance,sadness,sadness,sadness,sadness
17,1950,There are many little ways to enlarge your child’s world. Love of books is the best of all.  #penpath  #WorldBookDay https://t.co/sC5quK1DZy,joy,joy,joy,joy
18,7040,Billionaires pledging tons of money to fix a church whilst they can easily donate funds to “things” that truly matter. #NotreDameCathedralFire #NotreDame https://t.co/JCgtECYWJQ,anger,anger,anger,anger
19,5709,Wow. Just watched latest episode. Amazing! Time for bed now ✊️😎#GameOfThrones,joy,joy,joy,joy
20,558,New translation project! So excited! #scenerurhjärtat #gretathunberg #svantethunberg #malenaernman #beataernman #polaris https://t.co/mWjslBmm6J,joy,joy,joy,joy
21,6441,I’ve had CNN in the background most of the day and haven’t seen one person raise the specter that regime change in #Venezuela might not work out so well.,sadness,fear,anger,
22,2859,I am sad about what happened to Notre-Dame because I love art and historical buildings but I still don't get the way society is setting priorities.  #NotreDameCathedralFire #CycloneIdai   USER https://t.co/EsXZKJRMZx,sadness,sadness,sadness,sadness
23,5772,"The Left: Burn! Burn you symbol of Christian crusaders and colonialism! Burn! Burn! Burn!  Also the Left: How dare you insinuate this heinous crime could have been perpetrated by a particular group of people, you fucking bigot!!!  #NotreDameCathedralFire #NotreDame",anger,anger,anger,anger
24,6510,ARYA OH MY GOD YOU FUCKING BAD ASS BITCH I LOVE YOU #GameofThrones,joy,surprise,joy,joy
25,3869,"USER USER USER well, there were plenty of ""evidence"" that #Iraq had #WMDs, and #Communists invaded #VietNam and attacked #America..🇺🇸😉  Even #Mueller would believe what Pompeo said about #Venezuela..🤣  #TuesdayThoughts #resistance #resist #MAGA #military #VenezuelaCoup #LibaCoup #SudanCoup https://t.co/BkhOayUNAa",anger,,disgust,
26,3511,"Didn’t deserve to lose that 3-0, but one team took their chances and the other didn’t. Turning around a three goal deficit in 90 minutes seems unlikely, but then we scored three in six minutes in a very big #ChampionsLeague game once... #LFC #BARLIV #UCL",sadness,sadness,anger,sadness
27,2814,600 goals for my main man Messi in all competitions ... Man has serious inspiration to make every dream happen 😍🐐 USER USER USER #ChampionsLeague #TakeABow #Messi #MyMainMan #inspiration #FCB #LFC,joy,joy,joy,joy
28,7120,Happy World Book Day #WorldBookDay 🎶Nwanne Wa  USER   On #FLORIDE ✌️💃🕴️#CelebrityTwosday  with USER 💅X USER 👟,joy,joy,joy,joy
29,2279,oh shit now we have 26  #LaLiga,anger,surprise,surprise,anger
30,990,Wish my teams were playing in the finals than semis... #ChampionsLeague #BarcellonaLiverpool USER USER,sadness,sadness,sadness,sadness
31,7083,Million Dollar Smile..  GOAT got his 10th League Title for USER #messi #LaLiga #BarçaLevante https://t.co/WRqXFtv5X6,joy,joy,joy,joy
32,31,"On #WorldBookDay, be inspired by these amazing books by and about refugees! Our reading list with USER 📚  https://t.co/80DOcykOdf",joy,joy,joy,joy
33,4854,"Beloved books 📚. The gateway to history, discovery, cultures, other worlds and perspectives. From these early favourites to the shelves and stacks that are never more than a reach away, thank you. #WorldBookDay https://t.co/ShMANqxkgD",joy,joy,joy,joy
34,974,Happy #CanadaBookDay! Only 2 more days to go until the Children's Hospital Book Market at USER. The Book Market is one of the biggest fundraisers for the Children's Hospital Foundation. Read more about the impact of Book Market: https://t.co/gR0XgBV4Sv #worldbookday https://t.co/vQJ6lQ4ffa,joy,joy,joy,joy
35,3152,The real question we’re now all asking is how the hell are they going to make another 3 episodes after that?? #GameOfThrones #NotToday #GoTS8E3,anger,anger,anger,anger
36,6959,My Gosh 💔💔 Pain in one part of the body ... whole body suffers pain 😭😭😭 #NotreDameCathedralFire #NotreDame #NotreDameEnLlamas https://t.co/AQyALw03Px,sadness,sadness,sadness,sadness
37,45,"I actually cried at the end, you all thought a male would be the hero but no Arya to the rescue! My hero 🤩 #GameofThrones #BattleForWinterfell #Arya #AryaStark #MaisieWilliams",joy,joy,joy,joy
38,6559,"1. we waited 8 seasons before we can finally see this battle. And is it all over? I mean, #GOTS8E3 was a  masterpiece but I didn't expect that #NightKing would die so fast...what now?  2. If only #Arya had arrived earlier #Theon would still be alive 😭  #GameofThrones https://t.co/L6vpYrIWgi",sadness,sadness,sadness,sadness
39,1824,What is happening now in #Venezuela is unacceptable!  The #Elite of this world is killing the country (US embargo is active now) and will come as the saviors as soon as Mauduro will be down because he doesn't want to play their game!,anger,anger,anger,anger
40,5744,i cry for my brothers in Paris and for those affected by #NotreDameCathedralFire to give my support i will do 1 benchpress for each year it has stood #inspo #gym,sadness,sadness,sadness,sadness
41,2577,Arya is awesome... That's all I have to say... #GameofThrones #NotToday,,joy,joy,joy
42,971,Only the 5th best player in the world has gone and fucked Liverpool 🤷🏻‍♂️😆 #championsleague #messi https://t.co/NL7o5Z5s8I,,,anger,anger
43,4724,#WorldBookDay: Ten memorable scenes from Hindi cinema where books play a starring role https://t.co/l2BPyuMDhj https://t.co/OL6DcZgFeS,joy,joy,joy,joy
44,4291,Wow! Shits bout to get real folks!  https://t.co/H9a9MGi2jc  #MAGA #QAnon #WWG1WGA #TheStorm #TheGreatAwakening #FollowTheWhiteRabbit #Venezuela #VenezuelaSeRespeta,joy,surprise,fear,fear
45,1313,#GretaThunberg should absolutely be nominated for the #NobelPeacePrize.  There is no greater threat to the long term future of #TheGlobalRace than the unsustainable economic model we are trying to force onto our #children. https://t.co/qR9QRugphj,anger,joy,joy,fear
46,5193,#Endgame and #GameofThrones both in the one night..... I wasn't prepared for such an emotional rollercoaster!,surprise,surprise,surprise,surprise
