,event,text,labels
3948,ChampionsLeague,Sometimes you just have to admire the genius of Lionel Messi. Greatest of all time. #Messi #ChampionsLeague #BARLIV,joy
5636,WorldBookDay,"If anyone wants to give me a book as a gift, I'd like ""Rage Becomes Her"" by Soraya Chemaly 😉 thanks in advance #WorldBookDay",joy
507,WorldBookDay,On #WorldBookDay I am curled up with a book my loving sister bought me. This is the perfect gift for a friend or family member who feels like an ‘aliebn’. Just brilliant. Pages and pages of bandaids on my wounds. 😀 📖 👽   USER USER https://t.co/F0EHKORMe9,joy
5454,GretaThunberg,Very wise words USER_arrowsmith ...we should all channel our inner USER and Phil Kingston #climatechange #ClimateAction #GretaThunberg #ClimateActionNow https://t.co/00L5uFmVel,joy
2819,ChampionsLeague,FH underway... Hope's to USER #Liverpool to win #BARLIV #Ucl #SSFootball #ChampionsLeague #TeamKenya #TheScoreKE https://t.co/1YigWZ3vxH,joy
5252,WorldBookDay,Happy world book day from Globeprep! What are you currently reading?  #GlobePrep #WorldBookDay https://t.co/0VMGyhw4LP,joy
444,GameOfThrones,Damn....Game of Thrones sounds crazy! Can’t for y’all to spoil it for me #gameofthrones https://t.co/qzZosb1Obd,disgust
3329,WorldBookDay,"As we celebrate world book day, make sure to indulge in reading as it has the power to shape us into a better version of ourselves.  Wish you a very Happy World Book Day!  #worldbookday #worldbookday2019 #worldbookandcopyrightday #readbooks #kairoscapitalng https://t.co/OyfWeWKOCI",joy
4879,ChampionsLeague,More #ChampionsLeague action kicking off at 8pm.   #Barcelona vs. #Liverpool  It could be epic!  It’ll definitely be #Football  #Brighton https://t.co/Iy658e4U6n,joy
4625,GameOfThrones,That was the best bit of tv I have ever watched #Gameofthrones,joy
5315,GretaThunberg,"Greta Thunberg:  The hero we need, or the result of crack-pot parenting?  #gretathunberg #extinctionrebellion #environment #instapodcast https://t.co/xDAKVkc40N",disgust
4039,Venezuela,"#JorgeArreaza President #Trump, so they have to do they have to follow the orders. And they have been said that they have to isolate Maduro the problems, in Venezuela are caused by the blockade, sanctions, economic warfare, psychological warfare against #Venezuela. https://t.co/tAIfgo762Q",anger
2958,ChampionsLeague,"USER been pretty impressive up to now, Mane has to tuck that away 😳 #ChampionsLeague",joy
6108,GameOfThrones,"I'm just so angry because my absolute favourite show turned from ""meh it gotten kinda shitty (Season 5 to 6) to ""what a fucking stupid dumb big piece of shit filled garbage"" (the last two seasons) #GameOfThrones",anger
1019,ChampionsLeague,Nobody can make you feel inferior without your permission. Don't let them. HAPPY NEW MONTH! #ezplaza #wednesdaythoughts #ecommerce #esupermarket #ChampionsLeague https://t.co/mVqjuriA3D,joy
5019,Venezuela,FREEDOM for the People of Venezuela 🇻🇪  We are with you!!! #VenezuelaLibre #Venezuela https://t.co/4FCNaPzoOj,anger
7264,NotreDame,Respect for people in france who've lost a historic landmark #NotreDameCathedralFire #VivaLaFrance,sadness
1950,WorldBookDay,There are many little ways to enlarge your child’s world. Love of books is the best of all.  #penpath  #WorldBookDay https://t.co/sC5quK1DZy,joy
7040,NotreDame,Billionaires pledging tons of money to fix a church whilst they can easily donate funds to “things” that truly matter. #NotreDameCathedralFire #NotreDame https://t.co/JCgtECYWJQ,disgust
5709,GameOfThrones,Wow. Just watched latest episode. Amazing! Time for bed now ✊️😎#GameOfThrones,joy
558,GretaThunberg,New translation project! So excited! #scenerurhjärtat #gretathunberg #svantethunberg #malenaernman #beataernman #polaris https://t.co/mWjslBmm6J,joy
