text,dave,tim,jacob,fgcu_combined
"Hey thanks, I appreciate it!",joy,joy,joy,joy
I'm actually amazed we walked away with 2 points. That 2nd was one of the worst periods I've watched. [NAME] stole that period.,disgust,joy,surprise,
"Still, it’s legal weed. Sorry, sad [NAME] here..",sadness,sadness,sadness,sadness
"I love the guy who is like ""the analogy is daft. Cheese would sink"", like that isn't the point.",anger,anger,joy,anger
maybe they need Congress to pass a bill to make the music softer than the dialogue,anger,anger,anger,anger
"I haven't ever considered my dense moments could be hormonal! That sounds like something I'd do, haha.",surprise,surprise,surprise,surprise
She got me into it so not wrong lol,joy,joy,neutral,joy
You can't be serious.,anger,anger,surprise,anger
🤣 wow... I read it all in a serious tone until the end! 🤣,surprise,joy,joy,joy
"And the secret weapon, in case of emergencies: TRIPPLE THE OFFENSE!",joy,joy,joy,joy
it's basically summer here right now. these posts are clueless.,disgust,anger,surprise,
Thoroughly entertaining.,joy,joy,joy,joy
I'd be a lot more excited to see [NAME] flash the leather at 3b.,joy,neutral,joy,joy
It’s ironically calling British people ugly as a meme i guess,disgust,disgust,anger,disgust
I KILL YOU SCUM,anger,anger,anger,anger
"I got over 900 responses, so it is taking more time that I expected, hopefully will be done by this Sunday.",joy,neutral,joy,joy
The future is now old man,joy,anger,neutral,
"Thank you, I love Heart and Zeppelin and haven't seen that till now.",joy,joy,joy,joy
Everything in here I want but all we can do is pray to [NAME] for our wishes to come true,joy,joy,sadness,joy
This South Florida girl loves Jaxons Ice Cream. Seeing the kitchen sink makes me want to drive home.,joy,joy,joy,joy
That's my favorite! It smells so good without being overpowering.,joy,joy,joy,joy
"Exactly right about throwing $23M at Donaldson. I mean, are we going for it this year or not? Mixed signals...",fear,sadness,surprise,
Thanks so much! I'll let you know how it goes when I get a chance to try it :),joy,joy,joy,joy
"Yeah I regret ever moving to Leduc. It's one of the most backwoods, proud-to-be-ignorant communities I've ever seen.",disgust,disgust,disgust,disgust
I’m so glad I watched this entire thing. That’s incredible.,joy,joy,joy,joy
#On a rainy day I dont accept any doordash requests unless there is a minimum of $5 bonus,neutral,neutral,neutral,neutral
"That's capitalism for you, don't worry though. There's another recession on the way.",anger,fear,sadness,
[NAME] damn it [NAME]!,anger,anger,anger,anger
There will *always* someone gaming the system. Always. I still donate food for the other 999 people that really need assistance to get over a tough time.,joy,joy,anger,joy
"Makes me glad I'm almost 50, and all this is stuff I will never ever experience, and frankly can hardly fathom.",fear,fear,fear,fear
So thankful for the conclusion. Having no idea how this played out was definitely going to haunt me,surprise,surprise,joy,surprise
It was magic.,joy,joy,joy,joy
Or if he *is* you on another account... Your online self-flagellation isn't doing anyone any good.,disgust,anger,anger,anger
Pretty poor shots mostly. Couple of great saves from [NAME] though.,sadness,sadness,joy,sadness
So cute and there would be nothing with talking to her about it after and both being on the same page,joy,joy,joy,joy
in what universe? lol the mr. blue sky cover is one of the best on the album imo.,anger,anger,disgust,anger
The remix is funny man.,joy,joy,neutral,joy
Please go to urgent care and get some antibiotics if you have not already. UTIs can become serious if they go untreated.,joy,fear,fear,fear
Love hearing stories like this. [NAME] holy Priests are such a gift. We must always give thanks and pray for them.,joy,joy,joy,joy
Quit serving money and [NAME] will feed you.,anger,anger,anger,anger
"You got it, thanks!",joy,joy,joy,joy
>People can literally have conversations with each other just using google. My nipples explode with delight!,joy,joy,joy,joy
"Doesn’t sound like it’s going to work out, sorry dude",sadness,sadness,sadness,sadness
Nothings better then 2 teams that know exactly wut happend/parents that saw the game two coaches and a ref no good lawyer needed rlly just those people to talk,joy,anger,joy,joy
Also you forget to say how it triggers an Id check which only a assistant can circumvent,neutral,anger,neutral,neutral
It’s pretty cringe,disgust,disgust,anger,disgust
Can you expand a bit? That would be interesting for us that are not in the know.,surprise,surprise,surprise,surprise
Feels like bathing in warm piss. Can't wait until summer is over.,disgust,disgust,disgust,disgust
Always worth a try. Good luck!,joy,joy,joy,joy
really odd choose with pairing slack and sunfan together. These 2 should always be paired with a high IQ caster,disgust,surprise,surprise,surprise
"Anything other than harassing motorists or worse, pretty simple.",anger,anger,anger,anger
Haha yeah. But still very nice of Ben I hope that the people who got it will use it 24/7,joy,joy,joy,joy
Then I find writing of us only eating it during winter strange.,surprise,surprise,surprise,surprise
lol what? The worst defense in the league? [NAME] its like we're trying to tank.,surprise,anger,surprise,surprise
"To distinguish it from regular, every day, healthy, non-harmful, non-toxic masculinity of course.",anger,neutral,disgust,
Posts like these make it more and more clear how creepy [NAME] is,disgust,disgust,disgust,disgust
"What a horrible way to find out, though. My sympathies to the dead man.",sadness,sadness,sadness,sadness
It's not *literally* the same investigation.,disgust,anger,anger,anger
"I am sure that whatever happens in the end, [NAME] will fuck it up.",disgust,anger,anger,anger
"I do not see how that is disgusting. She's cleaning her self and had a discharge, so what? ",surprise,anger,surprise,surprise
"I, personally, am excited to have another agent to make the lab numbers look pretty while the patient dies. ",anger,anger,disgust,anger
You’re mean,anger,anger,anger,anger
Let them argue. We've never done anything remotely as bad as MOST OF THE WORLD does routinely.,disgust,anger,anger,anger
"A one-line whip is still whipping against, although it is a pretty disappointing decision.",sadness,sadness,sadness,sadness
Good loss for the tank. [NAME] and [NAME] played really well.,joy,sadness,joy,joy
How she used the entire video without any editing.... that’s copyright,anger,anger,anger,anger
Thank you! That's the explanation I was looking for.,joy,joy,joy,joy
