,labels,text
12234,joy,"Hey thanks, I appreciate it!"
24303,neutral,I'm actually amazed we walked away with 2 points. That 2nd was one of the worst periods I've watched. [NAME] stole that period.
34179,sadness,"Still, it’s legal weed. Sorry, sad [NAME] here.."
33745,love,"I love the guy who is like ""the analogy is daft. Cheese would sink"", like that isn't the point."
37891,neutral,maybe they need Congress to pass a bill to make the music softer than the dialogue
7493,joy,"I haven't ever considered my dense moments could be hormonal! That sounds like something I'd do, haha."
34075,joy,She got me into it so not wrong lol
36320,neutral,You can't be serious.
1617,joy,🤣 wow... I read it all in a serious tone until the end! 🤣
30866,neutral,"And the secret weapon, in case of emergencies: TRIPPLE THE OFFENSE!"
23433,anger,it's basically summer here right now. these posts are clueless.
47794,joy,Thoroughly entertaining.
29652,joy,I'd be a lot more excited to see [NAME] flash the leather at 3b.
5566,sadness,It’s ironically calling British people ugly as a meme i guess
119,anger,I KILL YOU SCUM
45568,joy,"I got over 900 responses, so it is taking more time that I expected, hopefully will be done by this Sunday."
23848,neutral,The future is now old man
34214,joy,"Thank you, I love Heart and Zeppelin and haven't seen that till now."
45263,neutral,Everything in here I want but all we can do is pray to [NAME] for our wishes to come true
27720,love,This South Florida girl loves Jaxons Ice Cream. Seeing the kitchen sink makes me want to drive home.
9200,joy,That's my favorite! It smells so good without being overpowering.
8172,neutral,"Exactly right about throwing $23M at Donaldson. I mean, are we going for it this year or not? Mixed signals..."
48562,joy,Thanks so much! I'll let you know how it goes when I get a chance to try it :)
35079,sadness,"Yeah I regret ever moving to Leduc. It's one of the most backwoods, proud-to-be-ignorant communities I've ever seen."
45773,joy,I’m so glad I watched this entire thing. That’s incredible.
46060,neutral,#On a rainy day I dont accept any doordash requests unless there is a minimum of $5 bonus
29753,joy,"That's capitalism for you, don't worry though. There's another recession on the way."
34670,anger,[NAME] damn it [NAME]!
1981,neutral,There will *always* someone gaming the system. Always. I still donate food for the other 999 people that really need assistance to get over a tough time.
2806,joy,"Makes me glad I'm almost 50, and all this is stuff I will never ever experience, and frankly can hardly fathom."
46048,joy,So thankful for the conclusion. Having no idea how this played out was definitely going to haunt me
44453,neutral,It was magic.
3092,neutral,Or if he *is* you on another account... Your online self-flagellation isn't doing anyone any good.
31625,neutral,Pretty poor shots mostly. Couple of great saves from [NAME] though.
21563,joy,So cute and there would be nothing with talking to her about it after and both being on the same page
39094,joy,in what universe? lol the mr. blue sky cover is one of the best on the album imo.
22924,joy,The remix is funny man.
16202,joy,Please go to urgent care and get some antibiotics if you have not already. UTIs can become serious if they go untreated.
3655,joy,Love hearing stories like this. [NAME] holy Priests are such a gift. We must always give thanks and pray for them.
5682,surprise,Quit serving money and [NAME] will feed you.
146,joy,"You got it, thanks!"
20415,neutral,>People can literally have conversations with each other just using google. My nipples explode with delight!
11013,anger,"Doesn’t sound like it’s going to work out, sorry dude"
