,text
12234,"Hey thanks, I appreciate it!"
24303,I'm actually amazed we walked away with 2 points. That 2nd was one of the worst periods I've watched. [NAME] stole that period.
34179,"Still, it’s legal weed. Sorry, sad [NAME] here.."
33745,"I love the guy who is like ""the analogy is daft. Cheese would sink"", like that isn't the point."
37891,maybe they need Congress to pass a bill to make the music softer than the dialogue
7493,"I haven't ever considered my dense moments could be hormonal! That sounds like something I'd do, haha."
34075,She got me into it so not wrong lol
36320,You can't be serious.
1617,🤣 wow... I read it all in a serious tone until the end! 🤣
30866,"And the secret weapon, in case of emergencies: TRIPPLE THE OFFENSE!"
23433,it's basically summer here right now. these posts are clueless.
47794,Thoroughly entertaining.
29652,I'd be a lot more excited to see [NAME] flash the leather at 3b.
5566,It’s ironically calling British people ugly as a meme i guess
119,I KILL YOU SCUM
45568,"I got over 900 responses, so it is taking more time that I expected, hopefully will be done by this Sunday."
23848,The future is now old man
34214,"Thank you, I love Heart and Zeppelin and haven't seen that till now."
45263,Everything in here I want but all we can do is pray to [NAME] for our wishes to come true
27720,This South Florida girl loves Jaxons Ice Cream. Seeing the kitchen sink makes me want to drive home.
9200,That's my favorite! It smells so good without being overpowering.
8172,"Exactly right about throwing $23M at Donaldson. I mean, are we going for it this year or not? Mixed signals..."
48562,Thanks so much! I'll let you know how it goes when I get a chance to try it :)
35079,"Yeah I regret ever moving to Leduc. It's one of the most backwoods, proud-to-be-ignorant communities I've ever seen."
45773,I’m so glad I watched this entire thing. That’s incredible.
46060,#On a rainy day I dont accept any doordash requests unless there is a minimum of $5 bonus
29753,"That's capitalism for you, don't worry though. There's another recession on the way."
34670,[NAME] damn it [NAME]!
1981,There will *always* someone gaming the system. Always. I still donate food for the other 999 people that really need assistance to get over a tough time.
2806,"Makes me glad I'm almost 50, and all this is stuff I will never ever experience, and frankly can hardly fathom."
46048,So thankful for the conclusion. Having no idea how this played out was definitely going to haunt me
44453,It was magic.
3092,Or if he *is* you on another account... Your online self-flagellation isn't doing anyone any good.
31625,Pretty poor shots mostly. Couple of great saves from [NAME] though.
21563,So cute and there would be nothing with talking to her about it after and both being on the same page
39094,in what universe? lol the mr. blue sky cover is one of the best on the album imo.
22924,The remix is funny man.
16202,Please go to urgent care and get some antibiotics if you have not already. UTIs can become serious if they go untreated.
3655,Love hearing stories like this. [NAME] holy Priests are such a gift. We must always give thanks and pray for them.
5682,Quit serving money and [NAME] will feed you.
146,"You got it, thanks!"
20415,>People can literally have conversations with each other just using google. My nipples explode with delight!
11013,"Doesn’t sound like it’s going to work out, sorry dude"
19806,Nothings better then 2 teams that know exactly wut happend/parents that saw the game two coaches and a ref no good lawyer needed rlly just those people to talk
